title,url
Who is an unpaid carer,https://www.kingston.gov.uk/new-caring-someone/carers-guide
Get a carers’ assessment,https://www.kingston.gov.uk/new-caring-someone/get-carers-assessment
Support for young carers,https://www.kingston.gov.uk/new-caring-someone/young-carers
Taking breaks from caring,https://www.kingston.gov.uk/looking/taking-breaks-caring
Planning your future,https://www.kingston.gov.uk/looking/planning-future
Managing stress as a carer,https://www.kingston.gov.uk/looking/managing-stress-carer
Providing end of life care,https://www.kingston.gov.uk/looking/providing-end-life-care
Financial support for carers,https://www.kingston.gov.uk/benefits-rights-work/financial-support-carers
Discount on Council Tax,"https://www.kingston.gov.uk/council-tax/discounts-exemptions/5#:~:text=Help%20with%20carers%20discount,)%2C%20there%27s%20a%2050%25%20discount"
Household Support Fund,https://www.kingston.gov.uk/costoflivingsupport
Taking leave and employment rights,https://www.kingston.gov.uk/benefits-rights-work/taking-leave-employment-rights
Dementia and memory loss,https://www.kingston.gov.uk/living-disability-sensory-loss/dementia-memory-loss
Our strategy for Kingston's carers,https://www.kingston.gov.uk/caring-someone/age-kingston-carers-strategy
Planning for emergencies,https://www.kingston.gov.uk/caring-someone/planning-emergencies
Make decisions on behalf of someone else,https://www.kingston.gov.uk/caring-someone/make-decisions-behalf-someone
Adult social care services,https://www.kingston.gov.uk/social-care-assessments/adult-social-care-1
Make a professional referral,https://www.kingston.gov.uk/adult-social-care/make-professional-referral-social-care-services/1
Eligibility for care services,https://www.kingston.gov.uk/eligiblecareservices
About care needs assessments,https://www.kingston.gov.uk/request-assessment
Someone to speak for you (advocate),https://www.kingston.gov.uk/social-care-assessments/someone-speak-advocate
Start care needs checklist,https://find-care-support-adults.kingston.gov.uk/
Find the right support to live independently at home,https://www.kingston.gov.uk/independent-living/find-right-support-live-independently-home
Help with meals and shopping,https://www.kingston.gov.uk/independent-living/help-meals-shopping
Keep active and mobile,https://www.kingston.gov.uk/independent-living/keep-active-mobile
Equipment and home adaptations (occupational therapy),https://www.kingston.gov.uk/independent-living/occupational-therapy
Relearn how to do daily activities after illness (reablement),https://www.kingston.gov.uk/independent-living/reablement
Care technology,https://www.kingston.gov.uk/independent-living/care-technology
Prevent falls at home,https://www.kingston.gov.uk/independent-living/preventing-falls-home
Make major adaptations to your home (Disabled Facilities Grant),https://www.kingston.gov.uk/independent-living/make-major-adaptations-home
Connected Kingston directory,https://connectedkingston.uk/
Kingston Carers’ Network (KCN),https://www.kingstoncarers.org.uk/
Citizens Advice Kingston,https://www.citizensadvicekingston.org.uk
